Reference, Value, Footprint, Datasheet
"SH1","ARDUINO_NANO","",""
"R1","680","",""
"R2","1.5k","",""
"R3","1.5k","",""
"R4","680","",""
"Q1","2N2222","",""
"Q2","2N2222","",""
"C1","10u","",""
